,,PAGINATION,,,,,,,,,SUPPORT,,,,MARKINGS,,,,,,FEATURES,,,,,,,,,,,,,,,,,,
II,45,,,,,4,45,,,84,A+,black,medium,medium,x,,,x,x,,,x,,,,,,,,,,,,,,,,,
II,46,,,,,5,46,,,85,A+,black,medium,medium,x,,,,x,,,x,,,,,,,,,,,,,,,,,
II,47,,,,,,,47,,86,D,blue,clean,medium,x,,,,,x,,x,,,,,,,,,,,,,,,,,
II,48-49,,,,1,8,48-49,,,87,A,black,medium,medium,x,,,,x,,,,X,,,,,,,,,,,,,,,,
II,50,,,,2,9,50,,,88,A,black,medium,medium,x,,,x,x,,,,X,,,,,,,,,,,,,,,,
II,51,,,3,3,10,51,,,89,A,black,medium,medium,x,,x,x,x,,,,X,,,,,,,,,,,,,,,,
II,52,,,4,4,11,52,,,90,A,black,medium,medium,,,x,x,x,,,,X,,,,,,,,,,,,,,,,
II,53,,,5,5,12,53,,,91,A,black,medium,medium,,,,,,,,,X,,,,,,,,,,,,,,,,
II,54,,,6,6,13,54,,,92,A,black,medium,medium,x,,,,,,,,X,,,,,,,,,,,,,,,,
II,55,,,,7,14,55,,,93,A,black,medium,medium,x,,x,,,,,,X,,,,,,,,,,,,,,,,
II,56,,,,,,,56,,94,D,blue,clean,medium,x,,,,,x,,,,,,,,,,,,,,,,,,,
II,57,,,,,,,48,,95,D,blue,clean,medium,,,,,,x,/,,,,,,,,,,,,,,,,,,
II,58,,,9,9,16,57,,,96,A,blue,dirty,medium,x,,x,,x,,,,X,,,,,,,,,,,,,,,,
II,59,,,,,,,58,,97,D,blue,clean,medium,x,,,,,x,/,,,,,,,,,,,,,,,,,,
II,60,,,11,11,18,59,,,98,A,blue,dirty,dark,x,,,,,,,x,X,,,,,,,,,,,,,,,,
II,61,,,12,12,19,60,,,99,A,blue,dirty,dark,x,,,,,,,x,X,,,,,,,,,,,,,,,,
II,62,,,13,13,20,61,,,100,A,blue,dirty,dark,,,x,,,,,x,X,,,,,,,,,,,,,,,,
II,63,,,14,14,21,62,,,101,A,blue,dirty,dark,x,,x,,,,,x,X,,,,,,,,,,,,,,,,
II,64,,,15,15,22,63 bis,,,102,A,blue,dirty,dark,x,,x,,,,,x,X,,,,,,,,,,,,,,,,
II,65,,,16,16,23,64,,,103,A,blue,dirty,dark,x,,x,,,,,x,X,,,,,,,,,,,,,,,,
II,66,,,17,17,24,65,,,104,A,blue,dirty,dark,x,,,,,,,x,X,,,,,,,,,,,,,,,,
II,67,,,18,18,25,66,,,105,A,blue,dirty,dark,x,,,,,,,x,X,,,,,,,,,,,,,,,,
II,68,,,19,19,26,67,,,106,A,blue,dirty,dark,,,x,,,,,x,X,,,,,,,,,,,,,,,,
II,69,,,,,,68,,,107,A+,blue,clean,medium,x,,,,,,,,,,,,,,,,,,,,,,,,
II,70,,,,,,,,41',108,D,blue,clean,medium,x,x,,,x,,,x,,,,,,,,,,,,,,,,,
II,71,,,,,,,,41'',109,D,blue,clean,medium,x,x,,,x,,,x,,,,,,,,,,,,,,,,,
II,72,,,,,,,,41''',110,D,blue,clean,medium,,x,,,x,,,x,,,,,,,,,,,,,,,,,
III,73,,,,,,69,,,111,A,blue,clean+,medium,,,,,,,,x,,,,,,,,,,,,,,,,,
III,74,,,2,,,70,,,112,A,black,dirty,medium,x,,,,x,,,x,,,,,,,,,,,,,,,,,
III,75,,,3,,3,71,,,113,D?,black,dirty,medium,x,,,x,,,,x,,,,,,,,,,,,,,,,,
III,76,,,,,,72,,,114,A+,orig,clean+,light,,,,,,,,x,,,,,,,,,,,,,,,,,
III,77,,,,,,73,,,115,A+,orig,clean+,light,x,,,,,,/,,,,,,,,,,,,,,,,,,
III,78,,,4,,4,74,,,116,A+,black,dirty,medium,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,79,,,5,,5,75,,,117,A,black,dirty,medium,x,,,,,,,,,,,,,,,,,,,,,,,,
III,80,,,6,,6,76,,,118,A,black,dirty,medium,x,,,x,x,,,x,,,,,,,,,,,,,,,,,
III,81,,,,,,77,,,119,A+,orig,clean+,light,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,82,,,,,,78,,,120,A+,orig,clean+,light,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,83,,,,,,79,,,121,A+,orig,clean+,light,,,,,,,,x,,,,,,,,,,,,,,,,,
III,84,,,,,,80,,,122,A+,orig,clean+,light,x,,,,,,,,,,,,,,,,,,,,,,,,
III,85,,,8,,10,81,,,123,A,black,dirty,medium,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,86,,,9,,11,82,,,124,A,orig,clean+,dark,x,,,,x,,,x,,,,,,,,,,,,,,,,,
III,87,,,10,,12,83,,,125,A,orig,clean+,dark,x,,,x,,,,x,,,,,,,,,,,,,,,,,
III,88,,,11,,13,84,,,126,A,orig,clean+,dark,x,,,,x,,,x,,,,,,,,,,,,,,,,,
III,89,,,,,,85,,,127,A+,blue,clean,dark,x,,,,,,,x,X,,,,,,,,,,,,,,,,
III,90,,,,,,86,,,128,A+,blue,clean,dark,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,91,,,,,,87,,,129,A+,blue,clean,dark,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,92,,,,,,88,,,130,A+,blue,clean,dark,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,93,,,,,,89,,,131,A+,orig,clean+,light,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,94,,,,,,90,,,132,A+,orig,clean+,light,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,95,,,,,,91,,,133,A+,orig,clean+,light,x,,,,,,/,,,,,,,,,,,,,,,,,,
III,96,,,12,,19,92,,,134,A,orig,clean+,dark,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,97,,,13,,20,93,,,135,A,orig,clean+,dark,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,98,,,14,,21,94,,,136,A,orig,clean+,dark,x,,,x,,,,x,,,,,,,,,,,,,,,,,
III,99,,,15,,22,95,,,137,A,orig,clean+,dark,x,x,,x,,,,x,,,,,,,,,,,,,,,,,
III,100,,,16,,23,96,,,138,A,orig,clean+,dark,x,,,x,,,,x,,,,,,,,,,,,,,,,,
III,101,,,17,,24,97,,,139,A,orig,clean+,dark,x,,,x,,,,x,,,,,,,,,,,,,,,,,
III,102,,,,,,98,,,140,A+,orig,clean+,light,x,,,,,,,,,,,,,,,,,,,,,,,,
III,103,,,,,,99,,,141,A+,orig,clean+,light,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,104,,,,,,100,,,142,A+,orig,clean+,light,x,,,,,,,x,,,,,,,,,,,,,,,,,
III,105,,,,,,101,,,143,A+,orig,clean+,light,x,,,,,,/,,,,,,,,,,,,,,,,,,
III,106,,,18,,,102,,,144,A+,orig,clean+,dark,x,,,x,,,,,,,,,,,,,,,,,,,,,
III,107,,,,,,103,,,145,A+,orig,clean+,light,x,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
